inLat,inLong,outLat,outLong,coord_string,parse_error
-19.6417,-42.55,-19.8,19.48333,"19°48'–19°29'S, and 42°38'–42°28'W",Parsed coordinates do not match original
-19.6417,-42.55,-42.63333,-42.46667,"19°48'–19°29'S, and 42°38'–42°28'W",Parsed coordinates do not match original
-30.3055,-51.3138,-30.30917,51.3,"30°18'33""S, 51°18'83""W",Parsed coordinates do not match original
-33.785,-70.227,-33.78545,-70.22708,"33°47.127'S, 70°13.625'W",Parsed coordinates do not match original
8.572,-70.965,8.57233,-70.9645,"8°34.34'N, 70°57.87'W",Parsed coordinates do not match original
8.556,-70.965,8.55567,-70.9645,"8°33.34'N, 70°57.87'W",Parsed coordinates do not match original
-4.1333,-40.2,-13.88333,-45.7,"(13°53' S, 45°42' W)",Parsed coordinates do not match original
-18.867,-48.217,,,"48°13' W, 18°52'S",Coordinate not parsed
25.2481,-100.035,25.24806,-100.03528,"25°14'53""N 100°02'07""W",Parsed coordinates do not match original
-32.7964,26.8489,,,"32°47'47′ S, 26°50'56′ E",Coordinate not parsed
-34.4874,20.045,-34.38389,19.61472,"34°23'02″ S, 19°36'53″ E",Parsed coordinates do not match original
-32.4433,27.2045,32.43333,60.0,"27˚12'27"" E; 32˚26'60"" S",Parsed coordinates do not match original
-33.85,18.833,,,"18°50’E, 33°51’S",Coordinate not parsed
-29.0628,30.5926,29.0825,30.60333,29°04’57’’ N 30°36’12’’ E,Parsed coordinates do not match original
-26.1466,28.6809,26.13333,75.0,26°08’75’’N 28°42’74’’E,Parsed coordinates do not match original
-26.1466,28.6809,28.7,74.0,26°08’75’’N 28°42’74’’E,Parsed coordinates do not match original
-33.933,18.85,,,"18°51'E, 33°56'S",Coordinate not parsed
8.8892,38.8864,,,38º 53' 11'' E; 8º 53' 21'' N,Coordinate not parsed
9.317,41.1,41.1,9.31667,41°06'E 9° 19' N,Parsed coordinates do not match original
9.133,42.35,42.35,9.13333,42° 21' E 9° 08' N,Parsed coordinates do not match original
9.4,42.05,42.05,9.4,42° 03' E 9° 24' N,Parsed coordinates do not match original
-17.933,30.917,,,30° 55' E and 17° 56' S,Coordinate not parsed
-17.95,30.933,,,30° 56' E and 17° 57' S,Coordinate not parsed
-17.383,31.1,,,31 ° 06' E and 17° 23' S,Coordinate not parsed
-17.583,30.917,,,30° 55' E and 17° 35' S,Coordinate not parsed
-25.5533,27.8297,,,"27°49'47""E, 25°33' 12""S",Coordinate not parsed
-24,30,-24.0,30.5,24°S 30.5°'E,Parsed coordinates do not match original
-9.1267,147.155,-9.1267,147.1546,"9.1267°S, 147.1546°E",Parsed coordinates do not match original
-5.6592,142.635,-5.6592,142.6354,"5.6592S, 142.6354°E",Parsed coordinates do not match original
-17.5144,145.475,-17.51441,145.47526,"17.51441°S, 145.47526°E",Parsed coordinates do not match original
60.3898,28.4457,60.39417,28.43333,"60°23′39″ N, 28°26′74″ E",Parsed coordinates do not match original
6.08389,20.3936,,,"65′02″ N, 20°23′37″ E",Coordinate not parsed
