inLat,inLong,outLat,outLong,coord_string,parse_error
-37.8954,-73.3571,-37.83333,-73.36667,"(37°50′ S, 73°22′ W)",Parsed coordinates do not match original
30.628,102.855,,,"latitude: 30.628° N, longitude: 102.855° E",Coordinate not parsed
-2.333,-60,,,"(60° 00′ W, 2° 20′ S)",Coordinate not parsed
41.333,-1.2,,,"1°12′W, 41°20′N",Coordinate not parsed
36.82,37.18,,,"longitude 37.18°E, latitude 36.82°N",Coordinate not parsed
34.3862,36.0933,34.38806,36.08333,N34°23′17″ E36°05′60″,Parsed coordinates do not match original
-45.6267,-73.5433,45.61667,60.0,"45°37′60 S, 73°32′60 W",Parsed coordinates do not match original
-45.6267,-73.5433,73.53333,-60.0,"45°37′60 S, 73°32′60 W",Parsed coordinates do not match original
-26.3033,-48.8375,-26.3045,-48.84868,"S26°18′16.2″, W48°50′55.248",Parsed coordinates do not match original
-21.6519,-41.6067,-21.66531,-41.6165,"S21°39′55.116″, W41°36′59.4",Parsed coordinates do not match original
47.0353,116.833,47.46537,116.83333,47°27.922N116°50,Parsed coordinates do not match original
47.0353,116.833,47.46433,116.83333,47°27.860N116°50,Parsed coordinates do not match original
47.0353,116.833,47.46513,116.83333,47°27.908N116°50,Parsed coordinates do not match original
47.0353,116.817,47.4619,116.81667,47°27.714N116°49,Parsed coordinates do not match original
47.0353,116.833,47.46477,116.83333,47°27.886N116°50,Parsed coordinates do not match original
47.0353,116.833,47.46553,116.83333,47°27.932N116°50,Parsed coordinates do not match original
47.0356,116.833,47.46675,116.83333,47°28.005N116°50,Parsed coordinates do not match original
47.0356,116.833,47.47217,116.83333,47°28.33N116°50,Parsed coordinates do not match original
47.0347,116.75,47.41667,116.75,47°25.000N116°45,Parsed coordinates do not match original
47.0347,116.75,47.4237,116.75,47°25.422N116°45,Parsed coordinates do not match original
18.0167,2.26667,,,18° 12° 16,Coordinate not parsed
37.93,6.22,,,37.93° 6.22°,Coordinate not parsed
37.0169,2,,,37.93° 11.02° 0,Coordinate not parsed
32.99,6.22,,,32.99° 6.22°,Coordinate not parsed
32.0169,2,,,32.99° 11.02° 0,Coordinate not parsed
32.0181,3,,,32.99° 15.83° 0,Coordinate not parsed
27.45,6.22,,,27.45° 6.22°,Coordinate not parsed
27.0169,2,,,27.45° 11.02° 0,Coordinate not parsed
27.0181,3,,,27.45° 15.83° 0,Coordinate not parsed
21.29,6.22,,,21.29° 6.22°,Coordinate not parsed
21.0169,2,,,21.29° 11.02° 0,Coordinate not parsed
21.0181,3,,,21.29° 15.83° 0,Coordinate not parsed
14.56,6.22,,,14.56° 6.22°,Coordinate not parsed
14.0169,2,,,14.56° 11.02° 0,Coordinate not parsed
14.0181,3,,,14.56° 15.83° 0,Coordinate not parsed
22.6,5.72,,,22.60° 5.72°,Coordinate not parsed
26.2,5.72,,,26.20° 5.72°,Coordinate not parsed
29.5,5.72,,,29.50° 5.72°,Coordinate not parsed
-8.39667,-37.2383,-8.39828,-37.24758,"8°23′53.8″ S, 37°14′51.3″ W",Parsed coordinates do not match original
11.4,1,,,11.4º 11.0º 8,Coordinate not parsed
8.01667,0.2,,,8º 10.7º 12,Coordinate not parsed
50.347,19.5833,50.34578,19.59556,"50°20′44.82″ N, 19°35′44.00″ E",Parsed coordinates do not match original
50.3488,19.5858,50.34581,19.5956,"50°20′44.93″ N, 19°35′44.15″ E",Parsed coordinates do not match original
50.3477,19.5997,50.34468,19.59444,"50°20′40.86″ N, 19°35′39.98″ E",Parsed coordinates do not match original
50.3423,19.5853,50.34598,19.59892,"50°20′45.54″ N, 19°35′56.12″ E",Parsed coordinates do not match original
50.3393,19.613,50.34816,19.60133,"50°20′53.36″ N, 19°36′04.78″ E",Parsed coordinates do not match original
50.7258,19.2832,50.72876,19.27083,"50°43′43.55″ N, 19°16′14.99″ E",Parsed coordinates do not match original
50.7282,19.2832,50.72908,19.27083,"50°43′44.69″ N, 19°16′14.99″ E",Parsed coordinates do not match original
50.4023,19.688,50.41532,19.69147,"50°24′55.14″ N, 19°41′29.28″ E",Parsed coordinates do not match original
-18.9417,48.42,-18.93403,48.42006,"18°56′2.5″ S, 48°25′12.2″ E",Parsed coordinates do not match original
-18.9417,48.4267,-18.94736,48.42294,"18°56′50.5″ S, 48°25′22.6″ E",Parsed coordinates do not match original
-18.9433,48.42,-18.94739,48.42283,"18°56′50.6″ S, 48°25′22.2″ E",Parsed coordinates do not match original
-18.9467,48.4183,-18.94022,48.42003,"18°56′24.8″ S, 48°25′12.1″ E",Parsed coordinates do not match original
-18.9283,48.5133,-18.92047,48.51411,"18°55′13.7″ S, 48°30′50.8″ E",Parsed coordinates do not match original
-18.9283,48.5133,-18.92047,48.51411,"18°55′13.7″ S, 48°30′50.8″ E",Parsed coordinates do not match original
-18.1717,47.2867,-18.18286,47.2895,"18°10′58.3″ S, 47°17′22.2″ E",Parsed coordinates do not match original
-16.31,46.8133,-16.31294,46.81633,"16°18′46.6″ S, 46°48′58.8″ E",Parsed coordinates do not match original
-16.3,46.8017,-16.31306,46.81586,"16°18′47.0″ S, 46°48′57.1″ E",Parsed coordinates do not match original
-7.12083,37.6267,-7.12361,37.61667,"07°07′25″ S, 37°37′60″ E",Parsed coordinates do not match original
8.38333,-83.3167,8.39,-83.32,"8°23′24.00″N, 83°19′12.00″W",Parsed coordinates do not match original
10.419,-83.9723,10.43004,-83.97954,"10°25′48.14″N, 83°58′46.34″W",Parsed coordinates do not match original
-20.0817,-40.7383,-20.07442,-40.74758,20°04′27.9″ S 40°44′51.3″ W,Parsed coordinates do not match original
-34.0175,18.4667,-34.23067,18.46667,"34°13.84′S, 18°28",Parsed coordinates do not match original
