inLat,inLong,outLat,outLong,coord_string,parse_error
-29.4467,-50.5801,-29.48333,-50.21667,29°29'S and 50°13'W,Parsed coordinates do not match original
-19.6417,-42.55,,,"19°48'–19°29'S, and 42°38'–42°28'W",Coordinate not parsed
-22.5911,-52.2439,-22.58333,-52.23500,"22°35'28.0""S, 52°14'38.1""W,",Parsed coordinates do not match original
-22.6066,-52.2524,-22.61333,-52.26000,"22°36'23.8""S, 52°15'08.6""W",Parsed coordinates do not match original
-33.9483,18.8611,-33.94733,18.85150,"33°56′53.84″ S, 18°51′40.09″ E",Parsed coordinates do not match original
-33.823,-70.056,-33.06917,70.05000,"33°49.406'S, 70°03.373'W",Parsed coordinates do not match original
-33.38,-70.667,-33.03389,70.66667,"33°22.812'S, 70°40.027'W",Parsed coordinates do not match original
-33.828,-70.054,-33.06917,70.05000,"33°49.682'S, 70°03.260'W",Parsed coordinates do not match original
-33.823,-70.056,-33.06917,70.05000,"33°49.406'S, 70°03.373'W",Parsed coordinates do not match original
-33.785,-70.227,-33.06861,70.21667,"33°47.127'S, 70°13.625'W",Parsed coordinates do not match original
-35.832,-72.514,-35.06917,72.50000,"35°49.948'S, 72°30.861'W,",Parsed coordinates do not match original
-45.5,-72.676,-45.05000,72.66667,"45°30.015'S, 72°40.587'W",Parsed coordinates do not match original
-45.353,-72.707,-45.03361,72.70000,"45°21.184'S, 72°42.427'W",Parsed coordinates do not match original
-45.683,-72.056,-45.06694,72.05000,"45°41.008'S, 72°03.362'W",Parsed coordinates do not match original
-45.22,-72.213,-45.01750,72.20000,"45°13.210'S, 72°12.775'W",Parsed coordinates do not match original
-45.267,-72.231,-45.01833,72.21667,"45°16.047'S, 72°13.851'W",Parsed coordinates do not match original
9.274,-70.218,9.01833,70.21667,"9°16.435'N, 70°13.102'W",Parsed coordinates do not match original
10.16,-63.793,10.00250,63.78333,"10°09.617'N, 63°47.605'W,",Parsed coordinates do not match original
7.957,-72.073,7.08528,72.06667,"7°57.411'N, 72°04.394'W",Parsed coordinates do not match original
8.147,-71.934,8.00222,71.93333,"8°08.817'N, 71°56.027'W",Parsed coordinates do not match original
8.652,-71.131,8.05250,71.11667,"8°39.142'N, 71°07.885'W",Parsed coordinates do not match original
8.652,-71.131,8.05250,71.11667,"8°39.142'N, 71°07.885'W",Parsed coordinates do not match original
8.564,-70.939,8.05083,70.93333,"8°33.85'N, 70°56.32'W",Parsed coordinates do not match original
8.579,-70.972,8.05111,70.96667,"8°34.76'N, 70°58.33'W",Parsed coordinates do not match original
8.572,-70.965,8.05111,70.95000,"8°34.34'N, 70°57.87'W",Parsed coordinates do not match original
7.977,-72.075,7.08556,72.06667,"7°58.593'N, 72°04.515'W",Parsed coordinates do not match original
8.556,-70.965,8.05083,70.95000,"8°33.34'N, 70°57.87'W",Parsed coordinates do not match original
10.163,-63.793,10.00250,63.78333,"10°09.753'N, 63°47.587'W",Parsed coordinates do not match original
8.524,-70.896,8.05028,70.88333,"8°31.43'N, 70°53.77'W",Parsed coordinates do not match original
-4.1333,-40.2,-13.88333,-45.70000,"(13°53' S, 45°42' W)",Parsed coordinates do not match original
25.2481,-100.035,25.24806,-100.03528,"25°14'53""N 100°02'07""W",Parsed coordinates do not match original
-34.4874,20.045,-34.38389,19.61472,"34°23'02″ S, 19°36'53″ E",Parsed coordinates do not match original
-33.9648,22.9821,-33.95233,22.97850,"33° 57' 53.14"" S 22° 58' 55.71"" E",Parsed coordinates do not match original
-29.0628,30.5926,29.08250,30.60333,29°04’57’’ N 30°36’12’’ E,Parsed coordinates do not match original
-26.1466,28.6809,26.14583,28.71233,26°08’75’’N 28°42’74’’E,Parsed coordinates do not match original
-22.798,30.453,-22.06861,30.45000,"S22°47.863’, E30°27.194’",Parsed coordinates do not match original
-26.114,26.246,-26.00167,26.23333,26°06.861S 26°14.760 E,Parsed coordinates do not match original
-27.09,26.042,-27.00139,26.03333,27°05.404' S 26°02.532 E,Parsed coordinates do not match original
-27.182,27.621,-27.01667,27.61667,27°10.920' S 27°37.237 E,Parsed coordinates do not match original
-26.106,26.784,-26.00167,26.78333,26°06.363' S 26°47.064' E,Parsed coordinates do not match original
-27.203,26.972,-27.01722,26.96667,27°12.159' S 26°58.330' E,Parsed coordinates do not match original
-26.726,26.801,-26.06750,26.80000,26°43.565' S 26°48.075' E,Parsed coordinates do not match original
